actualconduitsize,16,16
actualconduitsize,20,20
actualconduitsize,25,25
actualconduitsize,32,32
actualconduitsize,40,40
actualconduitsize,50,50
actualconduitsize,63,63
actualconduitsize,80,80
actualconduitsize,90,90
actualconduitsize,100,100
actualconduitsize,110,110
actualconduitsize,120,120
actualconduitsize,150,150
actualconduittype,A,Asbestos
actualconduittype,BI,Black Iron
actualconduittype,C,Concrete
actualconduittype,CI,Cast Iron
actualconduittype,E,Earthenware
actualconduittype,GI,Galvanised Iron
actualconduittype,G,Garnite
actualconduittype,P,Plastic
actualconduittype,X,Other
aerialroutescopestate,127,Not Required
aerialroutescopestate,126,Not Required - Lead In
aerialroutescopestate,0,Not Inspected
aerialroutescopestate,1,Required and Fit for NBN Aerial Cables
allocatesubduct,127,Not determined
allocatesubduct,0,Not subducted
allocatesubduct,1,1
allocatesubduct,2,2
allocatesubduct,3,3
allocatesubduct,4,4
allocatesubduct,5,5
allocatesubduct,6,6
allocatesubduct,7,7
allocatesubduct,8,8
allocatesubduct,9,9
allocatesubduct,10,10
allocatesubduct,11,11
allocatesubduct,12,12
allocatesubduct,13,13
allocatesubduct,14,14
allocatesubduct,15,15
allocatesubduct,16,16
allocatesubduct,17,17
allocatesubduct,18,18
allocatesubduct,19,19
allocatesubduct,20,20
az,A,A
az,B,B
az,C,C
az,D,D
az,E,E
az,F,F
az,G,G
az,H,H
az,I,I
az,J,J
az,K,K
az,L,L
az,M,M
az,N,N
az,O,O
az,P,P
az,Q,Q
az,R,R
az,S,S
az,T,T
az,U,U
az,V,V
az,W,W
az,X,X
az,Y,Y
az,Z,Z
blocksurfacefir,127,Not determined
blocksurfacefir,0,No Blockage
blocksurfacefir,1,Grass
blocksurfacefir,2,Paver
blocksurfacefir,3,Gravel
blocksurfacefir,4,Bitumen roadway
blocksurfacefir,5,Bitumen footpath
blocksurfacefir,6,Concrete footpath
blocksurfacefir,7,concrete driveway
blocksurfacefir,8,Other (comment mandatory)
buildcondition,127,Not determined
buildcondition,1,Rock
buildcondition,2,OTR
