OBJECTID,Shape_Leng,conduitid,routeid,cableids,startnode,endnode,nbnnestcol,nbnnestrow,nbnsubduct,nbnmat,nbndiamtr,nestcolumn,nestrow,subductnum,material,diameter,fill,nbnlength,actlength,owner,scopestate,mandrelcal,mandrelscp,mandrelmax,blockenda,blockendb,blocksurf,fr02,fr05,fr06,fr07,fr08,fr09,fr10,fr12,fr14,fr15,fr16,notperplan,ohsflag,deadcable,othdamage,stdcomment,fircomment,othcomment,phototaken,loadsource,projectid
1,218.60100800100,000000015013855984,000000015003241998,6PNJ-00-00-TSS-004,000000015013855355,000000015013855357,A,A,0,A,100,A,A,0,A,100,0,382.00000000000,0.00000000000,0,0,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
2,12.38169846800,000000015011549889,000000015002528706,-,000000015011547162,000000015011549888,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
3,542.33230294500,000000005001234658,000000005000191755,-,000000005001233077,000000005001233089,B,A,0,C,100,B,A,0,C,100,0,449.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
4,542.33230294500,000000005001234660,000000005000191755,-,000000005001233077,000000005001233089,B,B,0,CI,100,B,B,0,CI,100,0,449.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
5,542.33230294500,000000005001234704,000000005000191755,-,000000005001233077,000000005001233089,A,A,0,E,100,A,A,0,E,100,0,449.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
6,542.33230294500,000000015014032759,000000005000191755,-,000000005001233077,000000005001233089,B,A,1,GI,32,B,A,1,GI,32,0,449.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
7,231.71420906600,000000005001234635,000000005000191753,-,000000005001233033,000000005001233070,A,A,0,G,100,A,A,0,G,100,0,205.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
8,231.71420906600,000000005001234636,000000005000191753,-,000000005001233033,000000005001233070,B,A,0,P,100,B,A,0,P,100,0,205.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
9,231.71420906600,000000005001234638,000000005000191753,-,000000005001233033,000000005001233070,A,B,0,X,100,A,B,0,X,100,0,205.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
10,231.71420906600,000000015014032757,000000005000191753,-,000000005001233033,000000005001233070,B,A,1,A,32,B,A,1,P,32,0,205.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
11,12.42454089110,000000015011549734,000000015002528645,-,000000015011547268,000000015011549733,A,A,0,A,20,A,A,0,A,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
12,30.11355411560,000000015014596326,000000015003436165,-,000000015014596273,000000015014596284,A,A,0,A,50,A,A,0,A,50,0,26.90000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
13,65.96072017900,000000015013601895,000000015003179747,-,000000000207237196,000000015008876994,A,A,0,A,50,A,A,0,A,50,0,57.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
14,13.30552004300,000000004213234929,000000004202130094,-,000000005000370657,000000004213234904,A,A,0,A,20,A,A,0,A,20,0,12.80000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
15,12.44520993560,000000015011550006,000000015002528763,-,000000015011547194,000000015011550004,A,A,0,A,20,A,A,0,A,20,0,8.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
16,15.29931204780,000000000207240643,000000000201479772,-,000000000207237041,000000000207237043,C,D,0,A,100,C,D,0,A,100,0,21.30000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
17,15.29931204780,000000000207240644,000000000201479772,-,000000000207237041,000000000207237043,D,D,0,BI,100,D,D,0,BI,100,0,21.30000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
18,15.29931204780,000000000207240645,000000000201479772,-,000000000207237041,000000000207237043,C,E,0,BI,100,C,E,0,BI,100,0,21.30000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
19,15.29931204780,000000000207240646,000000000201479772,-,000000000207237041,000000000207237043,D,E,0,BI,100,D,E,0,BI,100,0,21.30000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
20,35.45608529480,000000015007460510,000000015001401626,-,000000000207612813,000000015008235801,A,A,0,BI,50,A,A,0,BI,50,0,40.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
21,66.92965773440,000000015017287635,000000015004115663,-,000000005001010659,000000015017287629,A,A,0,BI,100,A,A,0,BI,100,0,62.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
22,48.55781071330,000000000207500894,000000000201528966,-,000000000207500874,000000000207500887,A,A,0,BI,35,A,A,0,BI,35,0,37.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
23,96.72185455630,000000000207613032,000000000201547182,-,000000000207612749,000000000207612770,A,A,0,BI,50,A,A,0,BI,50,0,79.70000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
24,49.66072460130,000000005000370179,000000005000053427,-,000000005000370178,000000000207149926,A,A,0,BI,100,A,A,0,BI,100,0,49.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
25,49.66072460130,000000005000370180,000000005000053427,6PNJ-00-00-TSS-005,000000005000370178,000000000207149926,B,A,0,BI,100,B,A,0,BI,100,0,49.00000000000,0.00000000000,0,0,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
26,15.36109339670,000000015010237216,000000015002027077,-,000000015010236292,000000015010237215,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
27,114.81375354800,000000015007373466,000000015001384242,-,000000015007373420,000000015013850140,A,B,0,BI,100,A,B,0,BI,100,0,103.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
28,114.81375354800,000000015007373468,000000015001384242,6PNJ-00-00-TSS-004,000000015007373420,000000015013850140,A,A,0,BI,100,A,A,0,BI,100,0,103.00000000000,0.00000000000,0,0,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
29,20.20138460940,000000004213062051,000000004202094328,-,000000000207687601,000000004213062043,A,A,0,BI,20,A,A,0,BI,20,0,18.80000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
30,31.90625256160,000000000207607628,000000000201546239,-,000000000207236932,000000000207607625,A,A,0,BI,100,A,A,0,BI,100,0,28.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
31,61.70486654480,000000000207611878,000000000201546927,-,000000000207237222,000000000207611871,A,A,0,BI,20,A,A,0,BI,20,0,53.30000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
32,47.20936431560,000000015008801335,000000015001686940,-,000000000207607574,000000015008801333,A,A,0,BI,100,A,A,0,BI,100,0,91.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
33,47.12234537730,000000000207212082,000000000201472061,-,000000005000106508,000000005000106514,A,A,0,BI,80,A,A,0,BI,80,0,50.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
34,6.06430707111,000000015014596397,000000015003436182,-,000000015014596273,000000015014596350,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
35,6.90317767154,000000015006789389,000000015001273127,-,000000000207698894,000000015006789388,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
36,9.65049513618,000000004213063580,000000004202094684,-,000000000207611978,000000004213063570,A,A,0,BI,20,A,A,0,BI,20,0,10.10000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
37,13.20032632850,000000004213244495,000000004202131798,-,000000000207613864,000000004213244458,A,A,0,BI,20,A,A,0,BI,20,0,12.70000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
38,11.04870883030,000000004213235135,000000004202130145,-,000000005000370190,000000004213235110,A,A,0,BI,20,A,A,0,BI,20,0,11.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
39,13.57803114970,000000000207612253,000000000201547027,-,000000000207612242,000000000207612250,A,A,0,BI,20,A,A,0,BI,20,0,12.90000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
40,13.84317493950,N249386461,000000000201546706,-,000000000207237099,000000000207610025,A,A,0,BI,50,A,A,0,BI,50,0,10.40000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
41,46.96944134390,000000015013601761,000000015003179712,-,000000000207612000,000000015013601732,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
42,96.09536754950,000000005000370404,000000005000053461,-,000000005000370163,000000005000370401,A,A,0,BI,50,A,A,0,BI,50,0,77.70000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
43,54.32573882780,000000000207612109,000000000201546983,-,000000005000309299,000000000207612103,A,A,0,BI,35,A,A,0,BI,35,0,46.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
44,15.42893608740,000000015010246133,000000015002029048,-,000000015010235758,000000015010246132,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
45,22.88435274580,000000015013842753,000000015003238364,-,000000015013841627,000000015013841625,A,A,0,BI,50,A,A,0,BI,50,0,20.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
46,28.40676243650,000000000207500882,000000000201528964,-,000000000207500835,000000005002413345,A,A,0,BI,35,A,A,0,BI,35,0,39.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
47,45.09242561850,000000004213175983,000000004202118557,-,000000000207486117,000000004213175938,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
48,13.00361282250,000000004213243636,000000004202131669,-,000000000207613494,000000004213243585,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
49,83.43492549920,000000000207680753,000000000201558479,-,000000000207680685,000000000207680724,A,A,0,BI,80,A,A,0,BI,80,0,36.30000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
50,81.97630648390,000000000207585897,000000000201543176,-,000000000207485763,000000000207149946,A,A,0,BI,80,A,A,0,BI,80,0,70.90000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
51,25.89968062000,000000005001859671,000000015003469581,-,000000015014729275,000000015014729267,A,A,0,BI,50,A,A,0,BI,50,0,41.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
52,25.89968062000,000000015014729271,000000015003469581,-,000000015014729275,000000015014729267,A,A,0,BI,50,A,A,0,BI,50,0,41.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
53,25.89968062000,000000015014729274,000000015003469581,-,000000015014729275,000000015014729267,A,A,0,BI,50,A,A,0,BI,50,0,41.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
54,35.68819357920,000000015013850068,000000015003240628,6PNJ-00-00-TSS-005,000000015013196537,000000000207149946,A,A,0,BI,100,A,A,0,BI,100,0,26.00000000000,0.00000000000,0,0,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
55,66.96196645510,000000015005957741,000000015001140708,-,000000000207680607,000000015005957739,A,A,0,BI,20,A,A,0,BI,20,0,29.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
56,109.77828925300,000000000207239250,000000000201479477,-,000000000207237179,000000000207237185,A,A,0,BI,100,A,A,0,BI,100,0,90.20000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
57,109.77828925300,000000000207239251,000000000201479477,6PNJ-00-00-TSS-001,000000000207237179,000000000207237185,B,A,0,BI,100,B,A,0,BI,100,0,90.20000000000,0.00000000000,0,0,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
58,45.24518730820,000000000207316667,000000000201494946,-,000000000207315285,N83589888,I,A,0,BI,100,I,A,0,BI,100,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
59,45.24518730820,000000000207316668,000000000201494946,-,000000000207315285,N83589888,J,A,0,BI,100,J,A,0,BI,100,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
60,45.24518730820,000000000207316669,000000000201494946,-,000000000207315285,N83589888,I,B,0,BI,100,I,B,0,BI,100,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
61,45.24518730820,000000000207316670,000000000201494946,-,000000000207315285,N83589888,J,B,0,BI,100,J,B,0,BI,100,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
62,45.24518730820,000000000207316671,000000000201494946,-,000000000207315285,N83589888,I,C,0,BI,100,I,C,0,BI,100,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
63,45.24518730820,000000000207316672,000000000201494946,-,000000000207315285,N83589888,J,C,0,BI,100,J,C,0,BI,100,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
64,45.24518730820,000000000207317414,000000000201494946,-,000000000207315285,N83589888,I,A,1,BI,31,I,A,1,BI,31,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
65,45.24518730820,000000000207317422,000000000201494946,-,000000000207315285,N83589888,I,A,2,BI,28,I,A,2,BI,28,0,35.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
66,15.22847469140,000000015010246163,000000015002029056,-,000000015010235849,000000015010246162,A,A,0,BI,20,A,A,0,BI,20,0,15.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
67,37.39498925440,000000015007535975,000000015001415908,-,000000005000704057,000000005000948147,A,A,0,BI,50,A,A,0,BI,50,0,28.50000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
68,9.18530149868,000000004213070883,000000004202096615,-,000000000207612455,000000004213070878,A,A,0,BI,20,A,A,0,BI,20,0,9.60000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
69,27.39489089780,000000015011548279,000000015002527910,-,000000015011547196,000000015011547162,A,A,0,BI,50,A,A,0,BI,50,0,28.90000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
70,59.06770907710,000000015007373456,000000015001384237,-,000000015007373397,000000015007373372,A,A,0,BI,100,A,A,0,BI,100,0,30.10000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
71,30.20827718800,000000015014596325,000000015003436163,-,000000015014596171,000000015014596273,A,A,0,BI,50,A,A,0,BI,50,0,27.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
72,4.88163261356,000000015014596402,000000015003436184,-,000000015014596284,000000015014596359,A,A,0,BI,20,A,A,0,BI,20,0,10.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
73,12.46681094260,000000015011549744,000000015002528649,-,000000015011547263,000000015011549743,A,A,0,BI,20,A,A,0,BI,20,0,8.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
74,10.52342820450,000000000207316556,000000000201494687,-,000000000207315285,000000000207236984,A,A,0,BI,100,A,A,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
75,10.52342820450,000000000207316557,000000000201494687,-,000000000207315285,000000000207236984,B,A,0,BI,100,B,A,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
76,10.52342820450,000000000207316558,000000000201494687,-,000000000207315285,000000000207236984,A,B,0,BI,100,A,B,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
77,10.52342820450,000000000207316558,000000000201494687,-,000000000207315285,000000000207236984,B,A,0,BI,100,B,A,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
78,10.52342820450,000000000207316559,000000000201494687,-,000000000207315285,000000000207236984,B,B,0,BI,100,B,B,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
79,10.52342820450,000000000207316560,000000000201494687,-,000000000207315285,000000000207236984,A,C,0,BI,100,A,C,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
80,10.52342820450,000000000207316561,000000000201494687,-,000000000207315285,000000000207236984,B,C,0,BI,100,B,C,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
81,10.52342820450,000000000207316562,000000000201494687,-,000000000207315285,000000000207236984,A,D,0,BI,100,A,D,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
82,10.52342820450,000000000207316563,000000000201494687,-,000000000207315285,000000000207236984,B,D,0,BI,100,B,D,0,BI,100,0,12.00000000000,0.00000000000,0,127,0,0,0,0.00000000000,0.00000000000,127,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,127,,,N,1,6PNG-6YND
