OBJECTID,conduitid,routeid,startnode,endnode,nestcolumn,nestrow,nbnlength,subductnum,actlength,material,diameter,leadin,fill,cableids,owner,scopestate,blockenda,blockendb,blocksurf,mandrelcal,mandrelscp,mandrelmax,fr02,fr05,fr06,fr07,fr08,fr09,fr10,fr12,fr14,fr15,fr16,ohsflag,stdcomment,fircomment,othcomment,loadsource,phototaken,projectid,Shape,GlobalID
1,15013855984,15003241998,15013855355,15013855357,A,A,382,0,0,,100, ,0,6PNJ-00-00-TSS-004,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010404000000302AA9116D9768419031772DE44D4DC1F6285C716C97684130772DE9DC4D4DC1F8C2646664976841603255807F4D4DC1E25817FF6397684148696F307D4D4DC101000000010000000001000000FFFFFFFF0000000002,D3FD5A50-B22E-4C78-8064-20EB0D02339B
2,15011549889,15002528706,15011547162,15011549888,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000088635D2EBF99684100B37B5ABF554DC1C876BED1BE9968411848507CBF554DC1D88173F8BD996841305530CAC2554DC101000000010000000001000000FFFFFFFF0000000002,AA49CFB2-BF87-4233-88AB-83D23EBDBC99
3,5001234658,5000191755,5001233077,5001233089,B,A,449,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000003CBD5250C3976841E8FBA951AF4E4DC1B29DEFE5C3976841689A77BCB44E4DC18048BF7DD0976841C07493580B4F4DC1265305F5DB97684170C5FEB2434F4DC1ECE2366EEB976841684DF3FE7A4F4DC144FAED27ED97684190ED7C67814F4DC101000000010000000001000000FFFFFFFF0000000002,53E392F8-131E-4383-82FA-8B9D11EC4DC3
4,5001234660,5000191755,5001233077,5001233089,B,B,449,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000003CBD5250C3976841E8FBA951AF4E4DC1B29DEFE5C3976841689A77BCB44E4DC18048BF7DD0976841C07493580B4F4DC1265305F5DB97684170C5FEB2434F4DC1ECE2366EEB976841684DF3FE7A4F4DC144FAED27ED97684190ED7C67814F4DC101000000010000000001000000FFFFFFFF0000000002,57501A76-C275-459F-870A-D2CC38BE030F
5,5001234704,5000191755,5001233077,5001233089,A,A,449,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000003CBD5250C3976841E8FBA951AF4E4DC1B29DEFE5C3976841689A77BCB44E4DC18048BF7DD0976841C07493580B4F4DC1265305F5DB97684170C5FEB2434F4DC1ECE2366EEB976841684DF3FE7A4F4DC144FAED27ED97684190ED7C67814F4DC101000000010000000001000000FFFFFFFF0000000002,6104EDE6-1EFB-4F86-A136-CDE5C5396DA2
6,15014032759,5000191755,5001233077,5001233089,B,A,449,1,0,,32, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000003CBD5250C3976841E8FBA951AF4E4DC1B29DEFE5C3976841689A77BCB44E4DC18048BF7DD0976841C07493580B4F4DC1265305F5DB97684170C5FEB2434F4DC1ECE2366EEB976841684DF3FE7A4F4DC144FAED27ED97684190ED7C67814F4DC101000000010000000001000000FFFFFFFF0000000002,18F0784A-9A87-4022-BCD3-E1A3BEF4858F
7,5001234635,5000191753,5001233033,5001233070,A,A,205,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000000AD7A386B697684150F38E33404E4DC12063EE98B797684190CB7F00564E4DC1560E2DE0B7976841782D218F704E4DC17CD0B3ABB997684148696F28954E4DC1C66D3494BC976841D0BCE364AE4E4DC1C6FEB2E9BC97684190C2F5D8AF4E4DC101000000010000000001000000FFFFFFFF0000000002,F30211CF-90E1-435C-8DCF-D0393B6A4733
8,5001234636,5000191753,5001233033,5001233070,B,A,205,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000000AD7A386B697684150F38E33404E4DC12063EE98B797684190CB7F00564E4DC1560E2DE0B7976841782D218F704E4DC17CD0B3ABB997684148696F28954E4DC1C66D3494BC976841D0BCE364AE4E4DC1C6FEB2E9BC97684190C2F5D8AF4E4DC101000000010000000001000000FFFFFFFF0000000002,0A5EAEB1-A172-4D90-BC4C-DBC6B29A143F
9,5001234638,5000191753,5001233033,5001233070,A,B,205,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000000AD7A386B697684150F38E33404E4DC12063EE98B797684190CB7F00564E4DC1560E2DE0B7976841782D218F704E4DC17CD0B3ABB997684148696F28954E4DC1C66D3494BC976841D0BCE364AE4E4DC1C6FEB2E9BC97684190C2F5D8AF4E4DC101000000010000000001000000FFFFFFFF0000000002,00B13708-4E90-4A4E-8F12-8FB4B7980101
10,15014032757,5000191753,5001233033,5001233070,B,A,205,1,0,,32, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104060000000AD7A386B697684150F38E33404E4DC12063EE98B797684190CB7F00564E4DC1560E2DE0B7976841782D218F704E4DC17CD0B3ABB997684148696F28954E4DC1C66D3494BC976841D0BCE364AE4E4DC1C6FEB2E9BC97684190C2F5D8AF4E4DC101000000010000000001000000FFFFFFFF0000000002,5BAB578E-A75F-45C9-9860-99F5A3A40739
